<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<LAST>,<VOL>
13970802,1360.6,1361,1361,1360.6,11628668
13970805,1292.62,1293,1293,1292.62,15833748
13970806,1228.42,1228,1228,1228.42,4749892
13970807,1289.38,1351,1227,1321.21,161897311
13970809,1342.79,1356,1292,1355.74,84173440
13970812,1375.7,1408,1333,1349.81,84836153
13970813,1359.52,1397,1302,1301.79,101763615
13970814,1301.79,1380,1284,1371.39,68609308
13970815,1348.73,1414,1349,1414.01,161712364
13970819,1457.16,1483,1426,1482.52,125489306
13970820,1532.15,1544,1505,1544.02,160214447
13970821,1616.31,1616,1591,1592.04,17618250
13970822,1695.08,1753,1610,1610.38,166174232
13970823,1584.48,1584,1584,1584.48,35012347
13970826,1505.72,1548,1506,1505.72,149422088
13970827,1510.57,1553,1435,1440.44,164108483
13970828,1450.15,1490,1403,1450.15,73132915
13970829,1446.91,1500,1419,1451.23,133690747
13970911,1638,1639,1557,1613,276890461
13970912,1638,1657,1611,1657,153175000
13970913,1736,1736,1660,1736,218034863
13970914,1781,1810,1748,1810,191478485
13970917,1885,1892,1825,1892,83909648
13970918,1978,1978,1820,1930,331034933
13970919,1983,2082,1956,2081,255638040
13970921,2070,2136,2001,2088,314892645
13970924,2092,2145,1987,1987,213913381
13970925,1950,2030,1931,1931,100775878
13970926,1857,1927,1857,1857,302047730
13970927,1855,1935,1801,1921,181773107
13970928,1934,1934,1830,1868,110068553
13971001,1860,1898,1785,1825,99679716
13971002,1830,1909,1785,1881,117041114
13971003,1900,1945,1880,1926,71058515
13971004,1950,1953,1890,1896,67864021
13971005,1920,1920,1856,1875,88768208
13971008,1895,1898,1830,1836,76250197
13971009,1835,1888,1795,1845,76128643
13971010,1901,1901,1847,1850,60828564
13971011,1856,1856,1799,1799,106846429
13971012,1790,1795,1723,1725,146432861
13971015,1680,1731,1650,1650,116289989
13971016,1632,1743,1590,1743,182413126
13971017,1750,1790,1725,1750,92738896
13971018,1770,1770,1693,1710,75405584
13971019,1778,1866,1690,1728,79577230
13971022,1706,1706,1660,1660,172881087
13971023,1621,1661,1591,1628,143334982
13971024,1620,1645,1575,1589,109869919
13971025,1580,1622,1550,1586,125967848
13971026,1590,1619,1585,1595,66545717
13971029,1612,1612,1556,1560,67675669
13971030,1560,1560,1501,1534,99410646
13971101,1591,1591,1510,1591,203193863
13971102,1599,1620,1551,1567,82562885
13971103,1559,1561,1520,1530,67632310
13971106,1530,1530,1457,1464,144011197
13971107,1452,1509,1443,1454,84698709
13971108,1460,1469,1402,1406,90540518
13971109,1420,1489,1353,1433,317461808
13971110,1441,1441,1369,1371,191121766
13971113,1350,1357,1318,1318,93095235
13971114,1290,1310,1260,1278,269460487
13971115,1292,1334,1292,1334,85786971
13971116,1391,1391,1354,1391,245735040
13971117,1430,1449,1385,1388,217326972
13971121,1380,1380,1346,1346,140337882
13971123,1325,1345,1289,1299,127297929
13971124,1300,1368,1300,1368,216305953
13971127,1375,1418,1370,1382,120587927
13971128,1370,1389,1330,1341,102257259
13971129,1390,1440,1351,1364,70507459
13971130,1376,1413,1353,1384,110738188
13971201,1394,1456,1382,1456,237525400
13971204,1498,1520,1480,1520,272850005
13971205,1550,1562,1491,1499,206910876
13971206,1505,1592,1488,1560,240205411
13971207,1520,1555,1478,1506,174467865
13971208,1520,1534,1475,1490,143447231
13971211,1484,1484,1431,1449,125085965
13971212,1440,1484,1396,1460,198487782
13971213,1472,1488,1450,1470,125509004
13971214,1480,1487,1425,1429,78919623
13971215,1420,1448,1404,1419,95843122
13971218,1406,1418,1375,1380,102666771
13971219,1370,1548,1370,1445,163153743
13971220,1447,1504,1435,1460,207498599
13971221,1455,1472,1427,1430,96559874
13971222,1480,1499,1426,1429,129386763
13971225,1430,1465,1408,1423,116501824
13971226,1446,1477,1421,1428,76091971
13971227,1440,1459,1437,1440,78934216
13971228,1450,1480,1450,1462,137639324
13980105,1475,1477,1440,1447,63561126
13980106,1450,1469,1431,1464,101521005
13980107,1469,1524,1468,1524,235350064
13980110,1560,1593,1540,1593,237725261
13980111,1630,1645,1531,1572,229097328
13980117,1591,1625,1548,1613,146915872
13980118,1640,1681,1621,1639,349939681
13980119,1640,1738,1619,1707,341774293
13980120,1699,1739,1652,1705,232791906
13980121,1718,1772,1689,1751,260484062
13980124,1774,1800,1687,1700,224141710
13980125,1676,1719,1649,1699,187840409
13980126,1705,1759,1705,1710,184042441
13980127,1716,1722,1641,1641,199431015
13980128,1610,1645,1586,1611,188612009
13980131,1625,1685,1625,1680,180823366
13980202,1710,1710,1601,1612,177492583
13980203,1606,1635,1582,1586,132619187
13980204,1600,1636,1581,1600,158783826
13980207,1616,1644,1601,1609,158753277
13980208,1627,1675,1627,1671,191717384
13980209,1689,1770,1689,1741,179365420
13980210,1770,1770,1646,1673,221924251
13980211,1670,1699,1649,1681,203414932
13980214,1659,1760,1659,1760,452145051
13980215,1808,1834,1750,1834,617411040
13980216,1890,1913,1780,1879,1013887239
13980217,1895,1920,1789,1789,535396810
13980218,1800,1885,1780,1870,395167702
13980221,1785,1833,1743,1743,337783280
13980222,1723,1748,1693,1695,369716505
13980223,1710,1770,1680,1743,184637901
13980224,1751,1789,1725,1733,228450848
13980225,1762,1775,1681,1719,186002489
13980228,1721,1790,1716,1750,205286855
13980229,1759,1841,1734,1820,302476977
13980230,1830,1830,1753,1774,154781329
13980231,1768,1810,1768,1773,130861242
